Title,Category,DRC Platform,Runtime,Genres,Director,Watch Link,IMDB,TMDB,Overview,Price (Rent),Price (Buy),TMDB Confidence
Sam Cyr et Marylène Gendron : Séparés mais ensemble,Feature Films (70+ min),,79,Comedy,Anthony Hamelin,,,https://www.themoviedb.org/movie/1618204,"A comedy special featuring Sam Cyr and Marylène Gendron, each delivering 45 minutes of witty, endearing, and refreshingly bold humor.",,,
Sandhya Nama Upasate,Feature Films (70+ min),,104,"Drama, Romance",,,,https://www.themoviedb.org/movie/1621185,"The war never ends—it only changes its battlefield, from power and pride to wealth, and now to health and humanity. COVID pushed the world into unseen",,,
"Saucers, Spooks and Kooks",Feature Films (70+ min),,107,Documentary,Christopher Graybill,,https://www.imdb.com/title/tt39095446/,https://www.themoviedb.org/movie/1621386,Saucers Spooks and Kooks explores how disinformation helped fuel the UFO myth and how that fog continues to cloud what we think we know about UFOs to ,,,
Sirena,Feature Films (70+ min),filmmaker_site,94,Drama,Bobby Bonifacio,https://web.vivamax.net/movie/T00479,https://www.imdb.com/title/tt39240285/,https://www.themoviedb.org/movie/1621394,"Micaella Raz ignites the screen as she plays a mythic siren who feeds on sexual energy, draining men in exchange for prosperity. A fisherman accidenta",,,
Six String Sky,Feature Films (70+ min),,90,"Drama, Music, Comedy",Jordan Wilson,,https://www.imdb.com/title/tt38625188/,https://www.themoviedb.org/movie/1566906,"As family pressures and authority figures try to shut them down, two high school friends fight for one shot to share their voices and pursue their dre",,,
SMTOWN LIVE 2025-26 in FUKUOKA,Feature Films (70+ min),,297,,,,,https://www.themoviedb.org/movie/1628652,"2025 marks SM Entertainment's 30th anniversary, celebrated with performances around the world.  Now, SM artists are gathering in Fukuoka!  They'll ign",,,
Somewhere In The Sky(Live from the Hollywood Bowl),Feature Films (70+ min),,95,,Thomas Kirk,,,https://www.themoviedb.org/movie/1609793,Step inside AJR’s spectacular Somewhere in the Sky Tour as their sold-out performance from the iconic Hollywood Bowl comes to life in this special liv,,,
Southside Kev,Feature Films (70+ min),,103,Drama,Jamel Furlow,,https://www.imdb.com/title/tt31015089/,https://www.themoviedb.org/movie/1436102,"South-Side Kev follows a misguided teenager as he navigates the mean streets of South Jamaica Queens, struggling to find the balance between earning r",,,
Sulutan,Feature Films (70+ min),,72,Drama,Rodante Pajemna Jr.,,https://www.imdb.com/title/tt39283941/,https://www.themoviedb.org/movie/1614077,"Lena and Mara are drawn into a secret affair that defies boundaries and threatens everything they’ve built. When Mara uncovers her groom’s betrayal, s",,,
Tape Me,Feature Films (70+ min),,122,Horror,Christopher Outridge,,https://www.imdb.com/title/tt39373119/,https://www.themoviedb.org/movie/1619430,"Watch Me, Torture Me, Tape Me, follow Faceless as he catalogues his stalking, kidnapping and torturing of his victims. His victims range from privileg",,,
Terri Joe: Missionary in Miami,Feature Films (70+ min),,82,Comedy,Dale S. Lewis,,https://www.imdb.com/title/tt39282210/,https://www.themoviedb.org/movie/1600513,"In this wild farce, Southern Belle Terri Joe ventures to Miami to outrun wacky criminals and find a new church where she can atone for her sins.",,,
Thank You for Coming,Feature Films (70+ min),,188,"Comedy, Music",Khaled Galal,,,https://www.themoviedb.org/movie/1609131,The play revolves around a singer from a working-class neighborhood named Zalabia who dreams of fame. A maestro discovers her and supports her in achi,,,
The Era of Her,Feature Films (70+ min),,94,Comedy,,,,https://www.themoviedb.org/movie/1621525,"Before I turned 30, I felt like I was on a countdown. There is a traditional concept that turning 30 brings. It’s supposed to be a time when big thing",,,
THE FINAL NIGHT,Feature Films (70+ min),youtube,76,"Horror, Mystery, Thriller",JT Wight,https://www.youtube.com/channel/UCyWytNBbN3w2vAIT8N9NrVg,https://www.imdb.com/title/tt39238823/,https://www.themoviedb.org/movie/1626501,Years of working at Freddy Fazbear's Pizzeria have left Ralph's life in ruins. Hoping that leaving the company will finally give him a chance to piece,,,
The Forsaken,Feature Films (70+ min),,83,Western,,,,https://www.themoviedb.org/movie/1612977,"After discovering an old book, Alex becomes drawn into the harrowing stories of cowboys Latt and Stylz. As he reads about their treasure hunt and dari",,,
The Gayma Wards,Feature Films (70+ min),,91,,Kendorable,,,https://www.themoviedb.org/movie/1627368,"While hosting a parody awards show, everything starts to go wrong. Presenters are sabotaging, guests aren't showing up and the host is at their wits e",,,
The Mail Lady 3,Feature Films (70+ min),,94,"Thriller, Drama",Andre Ray,,https://www.imdb.com/title/tt38590290/,https://www.themoviedb.org/movie/1621666,"Hiding off the grid with Derek's newborn son, vengeful ex-mail carrier Sloan Redding orchestrates one last deadly scheme to claim her twisted family, ",,,
The Male Gaze: Wild Youth,Feature Films (70+ min),,98,,Luis Pacheco,,,https://www.themoviedb.org/movie/1622357,Witness how human nature can reveal that there are forces within us that are either challenged by - or reflected in - the people and environments that,,,
