title,year,imdb_id,tmdb_id,rt_url,digital_date,has_providers
Yang Tersisa Hanya Cinta,2025,,,https://www.rottentomatoes.com/search?search=Yang%20Tersisa%20Hanya%20Cinta%202025,2025-07-11,True
I'm Not Supposed to Be Here,2025,,,https://www.rottentomatoes.com/search?search=I%27m%20Not%20Supposed%20to%20Be%20Here%202025,2025-08-12,True
Hidden in the Kunlun,2025,,,https://www.rottentomatoes.com/search?search=Hidden%20in%20the%20Kunlun%202025,2025-07-16,True
Swiped,2025,,,https://www.rottentomatoes.com/search?search=Swiped%202025,2025-09-18,True
Ordures,2025,,,https://www.rottentomatoes.com/search?search=Ordures%202025,2025-06-16,True
Жизнь по вызову. Фильм,2025,,,https://www.rottentomatoes.com/search?search=%D0%96%D0%B8%D0%B7%D0%BD%D1%8C%20%D0%BF%D0%BE%20%D0%B2%D1%8B%D0%B7%D0%BE%D0%B2%D1%83.%20%D0%A4%D0%B8%D0%BB%D1%8C%D0%BC%202025,2025-08-23,True
Birthrite,2025,,,https://www.rottentomatoes.com/search?search=Birthrite%202025,2025-08-08,True
War on Drug,2025,,,https://www.rottentomatoes.com/search?search=War%20on%20Drug%202025,2025-06-10,True
No Tears in Hell,2025,,,https://www.rottentomatoes.com/search?search=No%20Tears%20in%20Hell%202025,2025-08-12,True
Jeff Bridges: A Reluctant Star,2025,,,https://www.rottentomatoes.com/search?search=Jeff%20Bridges%3A%20A%20Reluctant%20Star%202025,2025-07-13,True
Icarus,2025,,,https://www.rottentomatoes.com/search?search=Icarus%202025,2025-06-13,True
The Academy,2025,,,https://www.rottentomatoes.com/search?search=The%20Academy%202025,2025-07-09,True
Assassination: 1932,2025,,,https://www.rottentomatoes.com/search?search=Assassination%3A%201932%202025,2025-08-12,True
Simple Plan: The Kids in the Crowd,2025,,,https://www.rottentomatoes.com/search?search=Simple%20Plan%3A%20The%20Kids%20in%20the%20Crowd%202025,2025-07-07,True
Off the Grid,2025,,,https://www.rottentomatoes.com/search?search=Off%20the%20Grid%202025,2025-06-26,True
The Four Bad Boys and Me,2025,,,https://www.rottentomatoes.com/search?search=The%20Four%20Bad%20Boys%20and%20Me%202025,2025-07-31,True
North South,2025,,,https://www.rottentomatoes.com/search?search=North%20South%202025,2025-06-26,True
Kontrabida Academy,2025,,,https://www.rottentomatoes.com/search?search=Kontrabida%20Academy%202025,2025-09-11,True
Stardom Nighter 2025 in Korakuen Jul.,2025,,,https://www.rottentomatoes.com/search?search=Stardom%20Nighter%202025%20in%20Korakuen%20Jul.%202025,2025-07-24,True
TNA Slammiversary 2025,2025,,,https://www.rottentomatoes.com/search?search=TNA%20Slammiversary%202025%202025,2025-07-20,True
Grounded in Love,2025,,,https://www.rottentomatoes.com/search?search=Grounded%20in%20Love%202025,2025-08-07,True
Andere Eltern - Die 1. Klasse,2025,,,https://www.rottentomatoes.com/search?search=Andere%20Eltern%20-%20Die%201.%20Klasse%202025,2025-07-07,True
Gold Rush Gang,2025,,,https://www.rottentomatoes.com/search?search=Gold%20Rush%20Gang%202025,2025-08-20,True
